target,is_repaired,score,tags,used_function_names,used_statement_ids,operated_positions,created_statement_id,used_identifier_ids,pop_count,execution_time,preprocessing_time,similarity_calculation_time,repair_time,repair_initialization_time,repair_rep_generation_time,repair_evalution_time,tag
test2/ARC002/1/WA/8038.c,true,40,3 ,test2/ARC002/1/AC/26241.c::main ,4830 ,[0 1 0 0 0 0 ],74221 ,[380 380 186 380 186 186 186 ],8920,69642,5031,428,64095,5580,3062,55453,2
test2/ARC002/1/WA/8137.c,true,40,3 ,test2/ARC002/1/AC/20269.c::main ,24301 ,[0 1 ],49272 ,[380 302 380 302 380 302 302 ],132,9793,5016,387,4378,3416,225,737,2
test2/ARC002/1/WA/82647.c,true,40,3 ,test2/ARC002/1/AC/936784.c::main ,5318 ,[0 1 ],49235 ,[380 186 380 186 380 186 186 ],99,10551,4771,419,5348,4509,247,592,2
test2/ARC002/1/WA/8307.c,true,40,3 ,test2/ARC002/1/AC/7330.c::main ,19156 ,[0 1 ],49076 ,[380 380 380 186 186 ],32,10415,4939,405,5060,4496,248,316,2
test2/ARC002/1/WA/8346.c,true,40,3 ,test2/ARC002/1/AC/1502119.c::main ,38495 ,[1 6 ],53291 ,[383 186 383 186 383 186 186 ],1769,32436,5129,620,26652,11313,522,14817,2
test2/ARC002/1/WA/8348.c,true,40,3 ,test2/ARC002/1/AC/4390503.c::main ,3844 ,[0 1 ],49672 ,[380 186 380 186 380 186 186 ],284,11543,5109,440,5982,4479,236,1267,2
test2/ARC002/1/WA/8388.c,true,40,3 ,test2/ARC002/1/AC/8283.c::main ,28405 ,[0 1 ],49381 ,[380 186 380 380 186 186 186 ],156,11029,5083,422,5509,4489,236,784,2
test2/ARC002/1/WA/8399.c,true,40,3 ,test2/ARC002/1/AC/9832.c::main ,46047 ,[0 1 1 0 ],49094 ,[380 380 380 186 186 ],34,19200,4977,342,13865,13264,258,343,2
test2/ARC002/1/WA/8528.c,true,40,3 ,test2/ARC002/1/AC/24805.c::main ,44771 ,[0 2 ],49421 ,[380 380 380 186 186 ],198,13471,5069,419,7970,6768,240,962,2
test2/ARC002/1/WA/8600.c,false,0,3 3 3 ,test2/ARC002/1/AC/3871764.c::main test2/ARC002/1/AC/21461118.c::main test2/ARC002/1/AC/2789312.c::main ,22868 20269 34183 ,[2 1 0 0 ][1 2 ][1 1 ],65334 67510 69187 ,[221 ][1356 ][186 ],10000,104477,5291,600,98415,54360,2969,41086,2
test2/ARC002/1/WA/8796.c,true,40,3 ,test2/ARC002/1/AC/22147693.c::main ,42965 ,[0 0 ],54130 ,[221 861 861 186 861 186 861 186 186 ],1472,17775,5124,393,12240,2123,709,9408,2
test2/ARC002/1/WA/8856.c,true,40,1 ,test2/ARC002/1/AC/20269.c::main ,23045 ,[0 1 ],49449 ,[381 302 381 302 381 302 302 ],201,9209,5103,450,3642,2372,238,1032,2
test2/ARC002/1/WA/936742.c,true,40,3 ,test2/ARC002/1/AC/32340.c::main ,33543 ,[0 1 ],49133 ,[380 380 380 186 186 ],33,8309,5086,363,2848,2270,286,292,2
test2/ARC002/1/WA/936783.c,true,40,3 ,test2/ARC002/1/AC/21867.c::main ,43322 ,[0 1 ],49224 ,[380 186 380 186 380 186 186 ],96,10606,4889,386,5319,4503,249,567,2
test2/ARC002/1/WA/94172.c,true,40,3 ,test2/ARC002/1/AC/17927.c::main ,14427 ,[0 1 ],49160 ,[380 302 380 302 380 302 302 ],54,13683,4823,422,8423,7798,265,360,2
test2/ARC002/1/WA/94173.c,true,40,3 ,test2/ARC002/1/AC/6967.c::main ,6704 ,[0 1 ],50453 ,[380 380 380 186 186 ],492,19368,4820,389,14140,7804,274,6062,2
test2/ARC002/1/WA/959260.c,true,40,3 ,test2/ARC002/1/AC/1337564.c::main ,14634 ,[0 1 ],49076 ,[380 380 380 186 186 ],35,7393,4847,420,2112,1181,223,708,2
