target,is_repaired,score,tags,used_function_names,used_statement_ids,operated_positions,created_statement_id,used_identifier_ids,pop_count,execution_time,preprocessing_time,similarity_calculation_time,repair_time,repair_initialization_time,repair_rep_generation_time,repair_evalution_time,tag
test2/ARC002/1/WA/25076.c,true,40,3 ,test2/ARC002/1/AC/15204449.c::main ,17266 ,[0 3 ],50595 ,[186 380 380 380 ],667,14862,5179,444,9217,5545,194,3478,0
test2/ARC002/1/WA/25078.c,true,40,3 ,test2/ARC002/1/AC/1989411.c::main ,29619 ,[0 3 1 0 ],51045 ,[380 380 380 186 186 ],852,14997,4952,442,9583,5561,206,3816,0
test2/ARC002/1/WA/2564337.c,true,40,3 ,test2/ARC002/1/AC/4390503.c::main ,5215 ,[0 1 1 0 ],49080 ,[186 ],33,9153,4819,417,3905,3365,237,303,0
test2/ARC002/1/WA/2564581.c,true,40,3 3 ,test2/ARC002/1/AC/1136852.c::main test2/ARC002/1/AC/959262.c::main ,18500 4409 ,[0 1 ][0 0 0 0 ],56691 59040 ,[380 186 380 380 186 380 380 380 186 186 ][221 380 ],3556,35418,4961,419,30004,3359,1248,25397,0
test2/ARC002/1/WA/2564797.c,true,40,1 ,test2/ARC002/1/AC/62472.c::main ,793 ,[0 0 ],50223 ,[221 380 ],451,10891,4786,402,5692,3363,217,2112,0
test2/ARC002/1/WA/25654900.c,true,40,2 ,,18446744073709551615 ,[5 0 ],18446744073709551615 ,[],42,64345,5787,907,57636,57044,229,363,0
test2/ARC002/1/WA/25723.c,true,40,3 ,test2/ARC002/1/AC/2170375.c::main ,9513 ,[0 1 ],49422 ,[380 380 380 186 186 ],204,9031,5166,410,3443,2238,244,961,0
test2/ARC002/1/WA/25724.c,true,40,3 ,test2/ARC002/1/AC/82646.c::main ,29461 ,[0 2 ],50115 ,[186 ],469,10489,4999,406,5069,2251,224,2594,0
test2/ARC002/1/WA/25725.c,true,40,3 ,test2/ARC002/1/AC/15204449.c::main ,16426 ,[0 1 ],49268 ,[186 380 380 380 ],127,8602,5044,406,3142,2267,243,632,0
test2/ARC002/1/WA/25926.c,true,40,3 ,test2/ARC002/1/AC/7286.c::main ,4290 ,[0 1 ],49611 ,[380 380 186 380 186 186 ],229,13403,5003,363,8022,3394,246,4382,0
test2/ARC002/1/WA/25929.c,true,40,3 ,test2/ARC002/1/AC/9263.c::main ,38677 ,[0 1 ],49468 ,[380 302 380 302 380 302 302 ],167,14147,4905,419,8809,7734,240,835,0
test2/ARC002/1/WA/25930.c,true,40,3 ,test2/ARC002/1/AC/62497.c::main ,17511 ,[0 1 ],49377 ,[380 380 380 186 186 ],145,14325,5211,433,8669,7708,231,730,0
test2/ARC002/1/WA/25932.c,true,40,3 ,test2/ARC002/1/AC/212078.c::main ,26861 ,[0 1 ],49100 ,[302 380 380 380 ],46,19098,5042,433,13600,7706,219,5675,0
test2/ARC002/1/WA/25933.c,true,40,3 ,test2/ARC002/1/AC/212078.c::main ,27307 ,[0 1 ],49515 ,[302 380 380 380 ],219,14218,4787,416,9003,7723,251,1029,0
test2/ARC002/1/WA/25934.c,true,40,3 ,test2/ARC002/1/AC/69249.c::main ,3689 ,[0 1 ],50146 ,[380 186 380 186 380 186 186 ],385,18325,4782,427,13100,7717,244,5139,0
test2/ARC002/1/WA/25935.c,true,40,3 ,test2/ARC002/1/AC/99702.c::main ,43516 ,[0 1 1 0 ],49727 ,[380 186 380 186 380 186 186 ],266,15806,5086,389,10316,8816,239,1261,0
test2/ARC002/1/WA/25936.c,true,40,3 ,test2/ARC002/1/AC/1332763.c::main ,32487 ,[0 1 ],49354 ,[302 380 380 380 ],118,18670,4838,457,13349,8837,260,4252,0
test2/ARC002/1/WA/26214.c,true,40,3 ,test2/ARC002/1/AC/7758.c::main ,22967 ,[0 1 ],49397 ,[380 380 186 380 186 186 ],152,16318,5027,431,10846,9874,231,741,0
test2/ARC002/1/WA/26219.c,true,40,3 ,test2/ARC002/1/AC/657054.c::main ,5691 ,[0 1 0 0 1 0 ],49310 ,[380 221 186 ],110,29693,5029,500,24135,22902,270,963,0
test2/ARC002/1/WA/26220.c,true,40,3 ,test2/ARC002/1/AC/7176.c::main ,43896 ,[0 1 ],49844 ,[380 380 380 186 186 186 186 ],288,29719,4822,447,24435,22830,282,1323,0
test2/ARC002/1/WA/26221.c,true,40,3 ,test2/ARC002/1/AC/436477.c::main ,37103 ,[0 1 0 0 ],50558 ,[380 186 380 186 380 186 186 ],518,29915,5038,436,24422,21916,271,2235,0
test2/ARC002/1/WA/26225.c,true,40,3 ,test2/ARC002/1/AC/2170375.c::main ,9801 ,[0 1 0 0 ],49697 ,[380 380 380 186 186 ],278,28580,4747,479,23324,21827,261,1236,0
test2/ARC002/1/WA/26226.c,true,40,3 ,test2/ARC002/1/AC/69249.c::main ,2811 ,[0 1 ],49619 ,[380 186 380 186 380 186 186 ],214,32184,5166,486,26511,25070,281,1160,0
test2/ARC002/1/WA/26227.c,true,40,3 ,test2/ARC002/1/AC/26241.c::main ,5753 ,[0 1 0 0 ],49452 ,[380 186 380 186 186 ],129,30878,5316,522,25022,24007,289,726,0
test2/ARC002/1/WA/26231.c,true,40,3 ,test2/ARC002/1/AC/1571193.c::main ,46373 ,[0 1 0 0 ],49202 ,[380 380 380 302 302 ],70,32719,5077,492,27132,26352,300,480,0
test2/ARC002/1/WA/2789256.c,true,40,3 ,test2/ARC002/1/AC/6882.c::main ,3628 ,[0 1 1 0 ],51573 ,[380 186 380 380 186 186 ],1000,13531,5014,417,8086,3373,210,4503,0
test2/ARC002/1/WA/2789264.c,true,40,3 3 ,test2/ARC002/1/AC/6947.c::main test2/ARC002/1/AC/1989411.c::main ,45951 30357 ,[0 1 0 0 ][0 1 0 0 ],54675 56621 ,[380 221 221 ][381 380 380 186 186 ],3110,30171,5093,384,24663,3387,1095,20181,0
test2/ARC002/1/WA/2789281.c,true,40,3 ,test2/ARC002/1/AC/79264.c::main ,13506 ,[0 1 ],51870 ,[380 380 380 186 186 ],1092,17742,4877,412,12435,5577,502,6356,0
test2/ARC002/1/WA/2789295.c,true,40,3 ,test2/ARC002/1/AC/24805.c::main ,44794 ,[0 1 1 0 ],49218 ,[380 380 380 186 186 ],83,12303,5052,388,6851,2261,229,4361,0
test2/ARC002/1/WA/2789313.c,true,40,3 ,test2/ARC002/1/AC/32486.c::main ,9458 ,[0 1 1 0 ],49800 ,[186 380 380 380 ],303,12884,4955,364,7550,2226,241,5083,0
test2/ARC002/1/WA/2816366.c,false,30,3 ,test2/ARC002/1/AC/26241.c::main ,5892 ,[0 2 0 0 ],60675 ,[186 ],10000,58583,4866,422,53218,3362,2864,46992,0
test2/ARC002/1/WA/2816375.c,true,40,3 ,test2/ARC002/1/AC/84932.c::main ,8756 ,[0 1 ],50194 ,[380 186 380 186 380 186 186 ],388,15230,5142,409,9665,7695,254,1716,0
test2/ARC002/1/WA/3100956.c,true,40,3 ,test2/ARC002/1/AC/1989411.c::main ,29258 ,[0 1 ],50038 ,[380 380 380 186 186 ],410,13341,4999,409,7918,3378,238,4302,0
test2/ARC002/1/WA/3101127.c,true,40,3 ,test2/ARC002/1/AC/594629.c::main ,10123 ,[0 1 ],49986 ,[380 380 186 380 186 186 186 ],400,10708,4813,347,5535,3362,240,1933,0
test2/ARC002/1/WA/32235.c,true,40,3 ,test2/ARC002/1/AC/62472.c::main ,3591 ,[0 1 ],49427 ,[380 380 380 186 186 ],199,7870,5113,423,2324,1105,226,993,0
test2/ARC002/1/WA/32445903.c,true,40,3 ,test2/ARC002/1/AC/1989411.c::main ,31581 ,[0 5 ],49514 ,[380 380 380 186 186 ],224,15935,4864,462,10591,6659,198,3734,0
