target,0.isSuccess,0.created,0.totalTime,0.repairTime,1.isSuccess,1.created,1.totalTime,1.repairTime,2.isSuccess,2.created,2.totalTime,2.repairTime,3.isSuccess,3.created,3.totalTime,3.repairTime,4.isSuccess,4.created,4.totalTime,4.repairTime,
test/ABC272/A/WA/35469736.c,target,0.isSuccess,0.created,0.totalTime,0.repairTime,1.isSuccess,1.created,1.totalTime,1.repairTime,2.isSuccess,2.created,2.totalTime,2.repairTime,3.isSuccess,3.created,3.totalTime,3.repairTime,4.isSuccess,4.created,4.totalTime,4.repairTime,
target,0.isSuccess,0.created,0.totalTime,0.repairTime,1.isSuccess,1.created,1.totalTime,1.repairTime,2.isSuccess,2.created,2.totalTime,2.repairTime,3.isSuccess,3.created,3.totalTime,3.repairTime,4.isSuccess,4.created,4.totalTime,4.repairTime,
test/ABC266/A/WA/34375113.c,false,10000,40611,40035,false,10000,65971,43286,false,10000,72518,41104,true,1888,51538,20292,false,10000,71254,40120,
test/ABC266/A/WA/34379530.c,false,10000,54462,53927,false,10000,94761,72138,false,10000,121648,90265,false,10000,111531,80097,false,10000,105061,73736,
test/ABC266/A/WA/34380529.c,
test/ABC266/A/WA/34380681.c,false,10000,46740,46095,false,10000,64529,41659,false,10000,71280,39961,false,10000,72472,41047,false,10000,71735,40218,
test/ABC266/A/WA/34382806.c,false,10000,46608,45951,true,1402,50187,27440,false,10000,101418,69604,false,10000,101802,70272,false,10000,99869,68106,
test/ABC266/A/WA/34386025.c,false,10000,171127,170440,false,10000,160754,137759,false,10000,187691,155993,false,10000,196614,164946,false,10000,204279,172419,
test/ABC266/A/WA/34386242.c,false,10000,158727,158034,false,10000,156254,133507,false,10000,182048,150307,false,10000,196176,164386,false,10000,206177,174522,
test/ABC266/A/WA/34387647.c,false,10000,136191,135707,true,1913,59641,37154,false,10000,139463,107821,false,10000,129516,97645,false,10000,139967,108107,
test/ABC266/A/WA/34388092.c,false,10000,114380,113894,true,4840,81772,59171,false,10000,131344,99765,false,10000,125237,93264,false,10000,135637,104069,
test/ABC266/A/WA/34388373.c,false,10000,136069,135625,false,10000,142378,119773,false,10000,157812,126224,false,10000,171753,140062,false,10000,182434,151145,
